ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
0x38f7 ,INDORES16DEL02 ,30,5,22.744648,75.894377,22.824648,75.974377,20-03-2022,18:20:00,18:35:00,conditions Fog,Medium ,0,Snack ,motorcycle ,0,Yes ,Metropolitian ,(min) 44
0x1cf1 ,SURRES08DEL03 ,31,4.7,21.173343,72.792731,21.263343,72.882731,31-03-2022,19:10:00,19:15:00,conditions Fog,Jam ,2,Drinks ,motorcycle ,2,No ,Metropolitian ,(min) 41
0x2838 ,COIMBRES17DEL03 ,35,3.6,11.026117,76.944652,11.116117,77.034652,29-03-2022,21:25:00,21:35:00,conditions Stormy,Jam ,2,Drinks ,scooter ,0,No ,Metropolitian ,(min) 39
0x49e0 ,CHENRES04DEL01 ,35,4.6,13.02978,80.208812,13.13978,80.318812,18-03-2022,17:40:00,17:50:00,conditions Stormy,Medium ,0,Buffet ,motorcycle ,2,No ,Metropolitian ,(min) 38
0x9c4 ,RANCHIRES07DEL01 ,20,4.6,23.359407,85.325055,23.429407,85.395055,29-03-2022,21:45:00,22:00:00,conditions Cloudy,Jam ,0,Meal ,motorcycle ,NaN ,No ,Metropolitian ,(min) 38
0x74d9 ,VADRES04DEL03 ,22,4.4,0.0,0.0,0.06,0.06,11-03-2022,23:55:00,00:10:00,conditions Sandstorms,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 22
0x3348 ,COIMBRES14DEL01 ,28,4.8,11.003681,76.975525,11.113681,77.085525,23-03-2022,20:55:00,21:05:00,conditions Sunny,Jam ,2,Drinks ,scooter ,0,No ,Metropolitian ,(min) 14
0x2eb1 ,CHENRES20DEL03 ,20,4.3,12.975996,80.221898,13.035996,80.281898,24-03-2022,00:00:00,00:15:00,conditions Windy,Low ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 17
0x30b9 ,VADRES010DEL03 ,20,4.7,22.310329,73.169083,22.340329,73.199083,13-03-2022,19:10:00,19:20:00,conditions Stormy,Jam ,2,Drinks ,motorcycle ,1,No ,Urban ,(min) 22
0xb117 ,SURRES15DEL03 ,38,4.9,21.160522,72.771477,21.250522,72.861477,31-03-2022,18:55:00,19:05:00,conditions Sandstorms,Medium ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 29
0x11d9 ,JAPRES15DEL01 ,28,4.8,26.891191,75.802083,26.931191,75.842083,07-03-2022,16:30:00,16:45:00,conditions Cloudy,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 24
0x6123 ,INDORES06DEL01 ,28,4.9,22.728163,75.884212,22.768163,75.924212,19-03-2022,16:55:00,17:05:00,conditions Fog,Medium ,2,Meal ,scooter ,0,No ,Urban ,(min) 10
0x4e0d ,VADRES13DEL02 ,27,4.7,22.310237,73.158921,22.390237,73.238921,27-03-2022,21:00:00,21:05:00,conditions Sandstorms,Jam ,1,Meal ,scooter ,1,No ,Metropolitian ,(min) 25
0xb2a6 ,SURRES13DEL01 ,25,4.2,21.170096,72.789122,21.240096,72.859122,18-03-2022,19:00:00,19:15:00,conditions Cloudy,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 39
0x2456 ,BANGRES04DEL01 ,36,4.3,12.98041,77.640489,13.02041,77.680489,28-03-2022,13:15:00,13:30:00,conditions Cloudy,High ,2,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 34
0x1779 ,RANCHIRES17DEL03 ,34,4,23.374878,85.335739,23.434878,85.395739,05-03-2022,19:35:00,19:45:00,conditions Cloudy,Jam ,2,Meal ,scooter ,2,No ,Metropolitian ,(min) 39
0x543a ,INDORES11DEL02 ,33,4.2,22.751234,75.88949,22.881234,76.01949,23-03-2022,17:35:00,17:40:00,conditions Windy,Medium ,2,Buffet ,scooter ,1,No ,Metropolitian ,(min) 31
0x17d3 ,MYSRES18DEL01 ,38,4,12.337928,76.617889,12.347928,76.627889,09-03-2022,12:00:00,12:10:00,conditions Sandstorms,High ,1,Meal ,scooter ,2,No ,Metropolitian ,(min) 33
0xadce ,MYSRES17DEL03 ,37,4.1,12.326356,76.619103,12.416356,76.709103,31-03-2022,20:45:00,20:50:00,conditions Sandstorms,Jam ,1,Drinks ,motorcycle ,2,No ,Metropolitian ,(min) 33
0x456b ,SURRES20DEL03 ,29,4.2,21.15276,72.778059,21.18276,72.808059,30-03-2022,22:25:00,22:40:00,conditions Stormy,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 15
0x54f1 ,MUMRES06DEL03 ,38,4.8,19.055831,72.833984,19.115831,72.893984,09-03-2022,17:55:00,18:00:00,conditions Fog,Medium ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 27
0x56d2 ,INDORES01DEL01 ,35,5,22.695207,75.866059,22.735207,75.906059,01-03-2022,12:45:00,13:00:00,conditions Sandstorms,High ,0,Snack ,motorcycle ,2,No ,Metropolitian ,(min) 49
0xd4b5 ,LUDHRES06DEL02 ,34,3.6,30.895204,75.822103,30.975204,75.902103,18-02-2022,22:45:00,22:55:00,conditions Cloudy,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 34
0x5df6 ,MUMRES08DEL03 ,24,5,19.065838,72.832658,19.155838,72.922658,02-04-2022,17:15:00,17:20:00,conditions Cloudy,Medium ,0,Snack ,motorcycle ,2,No ,Metropolitian ,(min) 37
0x8140 ,MYSRES03DEL03 ,21,4.7,12.299524,76.64262,12.329524,76.67262,07-03-2022,18:50:00,19:00:00,conditions Cloudy,Medium ,1,Drinks ,scooter ,0,No ,Metropolitian ,(min) 13
0xce9d ,KNPRES01DEL01 ,31,4.6,26.483672,80.320708,26.553672,80.390708,12-02-2022,23:55:00,00:10:00,conditions Sandstorms,Low ,1,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 16
0x18d0 ,INDORES01DEL02 ,NaN ,NaN ,22.695207,75.866059,22.745207,75.916059,24-03-2022,NaN ,17:50:00,conditions Fog,Medium ,2,Buffet ,scooter ,0,No ,Urban ,(min) 10
0x4bc5 ,RANCHIRES04DEL02 ,36,4.5,23.359033,85.325347,23.439033,85.405347,20-03-2022,23:15:00,23:30:00,conditions Stormy,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 23
0xb2a3 ,SURRES05DEL01 ,37,4.5,21.175104,72.804342,21.245104,72.874342,02-03-2022,20:30:00,20:35:00,conditions Sandstorms,Jam ,2,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 31
0x4a51 ,SURRES07DEL03 ,21,4.1,21.170798,72.790489,21.200798,72.820489,07-03-2022,22:35:00,22:50:00,conditions Sandstorms,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 27
0xccb0 ,DEHRES14DEL03 ,22,4.5,30.319528,78.040267,30.459528,78.180267,12-02-2022,22:00:00,22:10:00,conditions Sunny,Jam ,1,Meal ,scooter ,1,No ,Metropolitian ,(min) 24
0xa8c4 ,COIMBRES12DEL01 ,37,4,11.000762,76.981876,11.010762,76.991876,07-03-2022,11:40:00,11:55:00,conditions Sandstorms,High ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 32
0xc630 ,AGRRES08DEL03 ,35,4,27.160934,78.044095,27.220934,78.104095,13-02-2022,23:30:00,23:45:00,conditions Sandstorms,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 24
0xdcd4 ,BHPRES14DEL03 ,38,5,0.0,0.0,0.03,0.03,13-02-2022,21:40:00,21:50:00,conditions Cloudy,Jam ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 32
0xd29 ,CHENRES07DEL02 ,38,4.9,13.081878,80.248519,13.211878,80.378519,08-03-2022,18:15:00,18:20:00,conditions Windy,Medium ,2,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 22
0xa44c ,JAPRES12DEL03 ,28,4.7,26.902908,75.792934,27.042908,75.932934,25-03-2022,20:10:00,20:15:00,conditions Fog,Jam ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 39
0x3761 ,JAPRES16DEL02 ,39,4.6,26.849596,75.800512,26.899596,75.850512,07-03-2022,19:35:00,19:50:00,conditions Fog,Jam ,1,Drinks ,motorcycle ,2,No ,Metropolitian ,(min) 38
0xca30 ,GOARES16DEL02 ,27,4.7,15.498603,73.826911,15.548603,73.876911,17-02-2022,18:50:00,19:00:00,conditions Fog,Medium ,1,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 11
0x3349 ,JAPRES06DEL02 ,20,5,26.911927,75.797282,26.931927,75.817282,21-03-2022,08:45:00,09:00:00,conditions Stormy,Low ,2,Snack ,electric_scooter ,0,No ,Metropolitian ,(min) 14
0x6177 ,CHENRES20DEL03 ,NaN ,NaN ,12.975996,80.221898,13.065996,80.311898,02-04-2022,NaN ,20:45:00,conditions Windy,Jam ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 32
0xdfd3 ,AURGRES04DEL03 ,27,4.1,19.876106,75.340775,19.966106,75.430775,14-02-2022,21:00:00,21:15:00,conditions Cloudy,Jam ,1,Meal ,scooter ,0,No ,Metropolitian ,(min) 31
0x181d ,SURRES18DEL03 ,23,4.7,21.149834,72.778666,21.209834,72.838666,21-03-2022,20:45:00,20:55:00,conditions Stormy,Jam ,1,Buffet ,scooter ,0,No ,Urban ,(min) 21
0x3674 ,CHENRES14DEL02 ,21,4.8,13.026279,80.174568,13.076279,80.224568,07-03-2022,21:55:00,22:05:00,conditions Fog,Jam ,0,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 26
0x973e ,RANCHIRES03DEL03 ,27,5,0.0,0.0,0.06,0.06,05-03-2022,23:20:00,23:35:00,conditions Windy,Low ,1,Drinks ,motorcycle ,1,NaN ,Metropolitian ,(min) 10
0x4748 ,COIMBRES09DEL01 ,21,4.5,11.008638,76.984311,11.048638,77.024311,28-03-2022,13:30:00,13:40:00,conditions Sunny,High ,0,Buffet ,motorcycle ,1,No ,Urban ,(min) 51
0x9cf7 ,MYSRES11DEL01 ,31,3.9,12.323225,76.630028,12.433225,76.740028,23-03-2022,18:10:00,18:20:00,conditions Windy,Medium ,1,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 38
0xa7e5 ,JAPRES07DEL03 ,39,4.3,26.766536,75.837333,26.826536,75.897333,05-03-2022,19:45:00,19:50:00,conditions Stormy,Jam ,1,Meal ,motorcycle ,2,No ,Metropolitian ,(min) 33
0x5c6a ,MYSRES15DEL03 ,31,5,12.352058,76.60665,12.412058,76.66665,30-03-2022,20:40:00,20:45:00,conditions Cloudy,Jam ,0,Meal ,motorcycle ,0,No ,Urban ,(min) 32
0x76c ,RANCHIRES11DEL01 ,NaN ,NaN ,23.359194,85.325447,23.469194,85.435447,02-04-2022,19:25:00,19:30:00,conditions Sunny,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 26
0x930a ,RANCHIRES16DEL02 ,27,4.6,23.371292,85.327872,23.421292,85.377872,11-03-2022,20:35:00,20:50:00,conditions Sunny,Jam ,2,Snack ,electric_scooter ,1,No ,Metropolitian ,(min) 16
